DATA SFCR;WERSJA SFCR;KOD ZAKŁADU;ID_PYTANIA;CZY WYSTĄPIŁ KLUCZ;ILOŚĆ WYSTĄPIEŃ KLUCZY;ID_TAB
31.12.2022;1;1;95;0;0;157
31.12.2022;1;1;96;1;47;157
31.12.2022;1;1;97;0;0;157
31.12.2022;1;1;98;0;0;157
31.12.2022;1;1;99;1;2;157
31.12.2022;1;1;100;0;0;157
31.12.2022;1;1;101;1;1;157
31.12.2022;1;1;102;0;0;157
31.12.2022;1;1;103;1;1;157
31.12.2022;1;1;104;0;0;157
31.12.2022;1;1;105;0;0;157
31.12.2022;1;1;106;0;0;157
31.12.2022;1;1;107;0;0;157
31.12.2022;1;1;108;1;1;157
31.12.2022;1;1;109;0;0;157
31.12.2022;1;1;110;0;0;157
31.12.2022;1;1;111;0;0;157
31.12.2022;1;1;112;1;1;157
31.12.2022;1;1;113;0;0;157
31.12.2022;1;1;114;1;1;157
31.12.2022;1;1;115;1;1;157
31.12.2022;1;1;116;1;2;157
31.12.2022;1;1;117;0;0;157
31.12.2022;1;1;118;0;0;157
31.12.2022;1;1;119;1;1;157
31.12.2022;1;1;120;0;0;157
31.12.2022;1;1;121;1;1;157
31.12.2022;1;1;122;0;0;157
31.12.2022;1;1;123;1;3;157
31.12.2022;1;1;124;1;3;157
31.12.2022;1;1;125;1;3;157
31.12.2022;1;1;126;1;3;157
31.12.2022;1;1;127;1;3;157
31.12.2022;1;1;128;0;0;157
31.12.2022;1;1;129;1;55;157
31.12.2022;1;1;130;0;0;157
31.12.2022;1;1;131;0;0;157
31.12.2022;1;1;132;0;0;157
31.12.2022;1;1;133;0;0;157
31.12.2022;1;1;134;0;0;157
31.12.2022;1;1;135;1;2;157
31.12.2022;1;1;136;0;0;157
31.12.2022;1;1;137;1;3;157
31.12.2022;1;1;138;0;0;157
31.12.2022;1;1;139;0;0;157
31.12.2022;1;1;140;0;0;157
31.12.2022;1;1;141;0;0;157
31.12.2022;1;1;142;0;0;157
31.12.2022;1;1;143;0;0;157
31.12.2022;1;1;144;1;1;157
31.12.2022;1;1;145;1;1;157
31.12.2022;1;1;146;0;0;157
31.12.2022;1;1;147;0;0;157
31.12.2022;1;1;148;0;0;157
31.12.2022;1;1;149;0;0;157
31.12.2022;1;1;150;0;0;157
31.12.2022;1;1;151;0;0;157
31.12.2022;1;1;152;1;12;157
31.12.2022;1;1;153;0;0;157
31.12.2022;1;1;154;0;0;157
31.12.2022;1;1;155;0;0;157
31.12.2022;1;1;156;0;0;157
31.12.2022;1;1;157;0;0;157
31.12.2022;1;1;158;0;0;157
31.12.2022;1;1;159;0;0;157
31.12.2022;1;1;160;0;0;157
31.12.2022;1;1;161;0;0;157
31.12.2022;1;1;162;0;0;157
31.12.2022;1;1;163;1;1;157
31.12.2022;1;1;164;1;1;157
31.12.2022;1;1;165;0;0;157
31.12.2022;1;1;166;1;1;157
31.12.2022;1;1;167;0;0;157
